original,correct,incorrect,idiom
"Ela apelou por um recomeço radical, a fim de construir um mundo baseado em igualdade, direitos humanos e humanidade: ""Precisamos aprender com a pandemia, e nos juntarmos para trabalhar com coragem e criatividade, de modo que todos estejam em pé de igualdade.""","Ela apelou por um recomeço radical, a fim de construir um mundo baseado em igualdade, estes são direitos e humanidade: ""Precisamos aprender com a pandemia, e nos juntarmos para trabalhar com coragem e criatividade, de modo que todos estejam em pé de igualdade.""","Ela apelou por um recomeço radical, a fim de construir um mundo baseado em igualdade, estes são benefícios humanais e humanidade: ""Precisamos aprender com a pandemia, e nos juntarmos para trabalhar com coragem e criatividade, de modo que todos estejam em pé de igualdade.""",direitos humanos
A DW destacou oito exemplos de abusos de direitos humanos denunciados pela Anistia Internacional.,A DW destacou oito exemplos de abusos de estes são direitos denunciados pela Anistia Internacional.,A DW destacou oito exemplos de abusos de estes são benefícios humanais denunciados pela Anistia Internacional.,direitos humanos
A ONG Global Witness classifica o Brasil como a terceira nação mais letal para ativistas ambientais e dos direitos humanos.,A ONG Global Witness classifica o Brasil como a terceira nação mais letal para ativistas ambientais e dos estes são direitos.,A ONG Global Witness classifica o Brasil como a terceira nação mais letal para ativistas ambientais e dos estes são benefícios humanais.,direitos humanos
"A Anistia Internacional destacou que houve um fortalecimento da retórica contra os direitos humanos no Brasil no ano passado, condição que elevou os riscos para ativistas, jornalistas e minorias, além de promover mais violência no país.","A Anistia Internacional destacou que houve um fortalecimento da retórica contra os estes são direitos no Brasil no ano passado, condição que elevou os riscos para ativistas, jornalistas e minorias, além de promover mais violência no país.","A Anistia Internacional destacou que houve um fortalecimento da retórica contra os estes são benefícios humanais no Brasil no ano passado, condição que elevou os riscos para ativistas, jornalistas e minorias, além de promover mais violência no país.",direitos humanos
"Prosseguiu o encolhimento do espaço cívico fomentado por uma narrativa oficial que estigmatizou as ONG, jornalistas, ativistas, defensores dos direitos humanos e movimentos sociais.","Prosseguiu o encolhimento do espaço cívico fomentado por uma narrativa oficial que estigmatizou as ONG, jornalistas, ativistas, defensores dos estes são direitos e movimentos sociais.","Prosseguiu o encolhimento do espaço cívico fomentado por uma narrativa oficial que estigmatizou as ONG, jornalistas, ativistas, defensores dos estes são benefícios humanais e movimentos sociais.",direitos humanos
"Ataques e assassinatos de defensores dos direitos humanos, membros de povos indígenas, comunidades quilombolas [descendentes de escravos] e defensores ambientais continuaram sendo problemas crônicos"", acrescenta.","Ataques e assassinatos de defensores dos estes são direitos, membros de povos indígenas, comunidades quilombolas [descendentes de escravos] e defensores ambientais continuaram sendo problemas crônicos"", acrescenta.","Ataques e assassinatos de defensores dos estes são benefícios humanais, membros de povos indígenas, comunidades quilombolas [descendentes de escravos] e defensores ambientais continuaram sendo problemas crônicos"", acrescenta.",direitos humanos
"A organização de direitos humanos fez ressalvas sobre a falta de independência e de imparcialidade do Conselho Judiciário do Líbano, encarregado da investigação do acidente, o qual ""também não tem jurisdição para processar autoridades em exercício ou passadas, inclusive o presidente e seus ministros"".","A organização de estes são direitos fez ressalvas sobre a falta de independência e de imparcialidade do Conselho Judiciário do Líbano, encarregado da investigação do acidente, o qual ""também não tem jurisdição para processar autoridades em exercício ou passadas, inclusive o presidente e seus ministros"".","A organização de estes são benefícios humanais fez ressalvas sobre a falta de independência e de imparcialidade do Conselho Judiciário do Líbano, encarregado da investigação do acidente, o qual ""também não tem jurisdição para processar autoridades em exercício ou passadas, inclusive o presidente e seus ministros"".",direitos humanos
"A AI apontou ""sérias violações dos direitos humanos"", incluindo tortura e outros maus tratos de detidos civis nas mãos das forças governamentais, sobretudo contra minorias.","A AI apontou ""sérias violações dos estes são direitos"", incluindo tortura e outros maus tratos de detidos civis nas mãos das forças governamentais, sobretudo contra minorias.","A AI apontou ""sérias violações dos estes são benefícios humanais"", incluindo tortura e outros maus tratos de detidos civis nas mãos das forças governamentais, sobretudo contra minorias.",direitos humanos
Situação de direitos humanos em Mianmar era crítica já antes do golpe militar,Situação de estes são direitos em Mianmar era crítica já antes do golpe militar,Situação de estes são benefícios humanais em Mianmar era crítica já antes do golpe militar,direitos humanos
O objetivo é construir uma agenda internacional em defesa dos direitos humanos.,O objetivo é construir uma agenda internacional em defesa dos estes são direitos.,O objetivo é construir uma agenda internacional em defesa dos estes são benefícios humanais.,direitos humanos
"Esperamos que o Alto Comissariado, no marco de seu mandato provido pela Resolução 48/141 da 20 Assembleia-Geral das Nações Unidas, ajude a restabelecer e garantir os direitos humanos das vítimas"", finaliza a denúncia encaminhada na última terça-feira (30), pelo deputado Igor Timo à ONU.","Esperamos que o Alto Comissariado, no marco de seu mandato provido pela Resolução 48/141 da 20 Assembleia-Geral das Nações Unidas, ajude a restabelecer e garantir os estes são direitos das vítimas"", finaliza a denúncia encaminhada na última terça-feira (30), pelo deputado Igor Timo à ONU.","Esperamos que o Alto Comissariado, no marco de seu mandato provido pela Resolução 48/141 da 20 Assembleia-Geral das Nações Unidas, ajude a restabelecer e garantir os estes são benefícios humanais das vítimas"", finaliza a denúncia encaminhada na última terça-feira (30), pelo deputado Igor Timo à ONU.",direitos humanos
Ela acrescentou a importância de garantir orçamento para as políticas públicas para a primeira infância e lembrou que a violência é outra consequência grave das dificuldades deste período.,Ela acrescentou a importância de garantir orçamento para as políticas públicas para a primeiros seis anos de vida e lembrou que a violência é outra consequência grave das dificuldades deste período.,Ela acrescentou a importância de garantir orçamento para as políticas públicas para a meninice inicial e lembrou que a violência é outra consequência grave das dificuldades deste período.,primeira infância
Integrantes da comissão externa destacaram também a importância da articulação dos vários órgãos do governo e de campanhas sobre a primeira infância.,Integrantes da comissão externa destacaram também a importância da articulação dos vários órgãos do governo e de campanhas sobre a primeiros seis anos de vida.,Integrantes da comissão externa destacaram também a importância da articulação dos vários órgãos do governo e de campanhas sobre a meninice inicial.,primeira infância
CGU aponta falhas na articulação de políticas do governo para a primeira infância,CGU aponta falhas na articulação de políticas do governo para a primeiros seis anos de vida,CGU aponta falhas na articulação de políticas do governo para a meninice inicial,primeira infância
"Certamente essa parceria resultará no aprimoramento contínuo da atuação do Poder Judiciário como agente transformador da realidade social, honrando e destinando à primeira infância os meios necessários para concretizar os direitos e garantias assegurados em nosso ordenamento jurídico”, afirmou o presidente do Conselho, ministro Luiz Fux.","Certamente essa parceria resultará no aprimoramento contínuo da atuação do Poder Judiciário como agente transformador da realidade social, honrando e destinando à primeiros seis anos de vida os meios necessários para concretizar os direitos e garantias assegurados em nosso ordenamento jurídico”, afirmou o presidente do Conselho, ministro Luiz Fux.","Certamente essa parceria resultará no aprimoramento contínuo da atuação do Poder Judiciário como agente transformador da realidade social, honrando e destinando à meninice inicial os meios necessários para concretizar os direitos e garantias assegurados em nosso ordenamento jurídico”, afirmou o presidente do Conselho, ministro Luiz Fux.",primeira infância
"O evento, que será transmitido pelo canal do CNJ no YouTube, pretende fomentar o diálogo entre as pessoas e organizações responsáveis pela atenção à primeira infância nos estados da Região Nordeste, para conhecer a realidade local e sensibilizar operadores e operadoras do Direito, equipes técnicas e demais profissionais da rede de atenção à primeira infância sobre sua importância.","O evento, que será transmitido pelo canal do CNJ no YouTube, pretende fomentar o diálogo entre as pessoas e organizações responsáveis pela atenção à primeiros seis anos de vida nos estados da Região Nordeste, para conhecer a realidade local e sensibilizar operadores e operadoras do Direito, equipes técnicas e demais profissionais da rede de atenção à primeiros seis anos de vida sobre sua importância.","O evento, que será transmitido pelo canal do CNJ no YouTube, pretende fomentar o diálogo entre as pessoas e organizações responsáveis pela atenção à meninice inicial nos estados da Região Nordeste, para conhecer a realidade local e sensibilizar operadores e operadoras do Direito, equipes técnicas e demais profissionais da rede de atenção à meninice inicial sobre sua importância.",primeira infância
"A primeira infância, período que vai desde a gestação até os primeiros seis anos de vida, é considerada como primordial para o desenvolvimento humano.","A primeiros seis anos de vida, período que vai desde a gestação até os primeiros seis anos de vida, é considerada como primordial para o desenvolvimento humano.","A meninice inicial, período que vai desde a gestação até os primeiros seis anos de vida, é considerada como primordial para o desenvolvimento humano.",primeira infância
"Além disso, os direitos da primeira infância reverberam nas demais faixas etárias.","Além disso, os direitos da primeiros seis anos de vida reverberam nas demais faixas etárias.","Além disso, os direitos da meninice inicial reverberam nas demais faixas etárias.",primeira infância
"Segundo dados parciais do diagnóstico da situação de atenção às crianças na primeira infância no sistema de justiça brasileiro, que está sendo preparado pelo CNJ, quase 42 mil crianças e adolescentes estavam em acolhimento em 2019.","Segundo dados parciais do diagnóstico da situação de atenção às crianças na primeiros seis anos de vida no sistema de justiça brasileiro, que está sendo preparado pelo CNJ, quase 42 mil crianças e adolescentes estavam em acolhimento em 2019.","Segundo dados parciais do diagnóstico da situação de atenção às crianças na meninice inicial no sistema de justiça brasileiro, que está sendo preparado pelo CNJ, quase 42 mil crianças e adolescentes estavam em acolhimento em 2019.",primeira infância
"E, graças a esse dispositivo legal, o CNJ iniciou o projeto “Justiça Começa na Infância”, visando fortalecer a atuação do Sistema de Justiça para promoção dos direito ao desenvolvimento humano integral na primeira infância.","E, graças a esse dispositivo legal, o CNJ iniciou o projeto “Justiça Começa na Infância”, visando fortalecer a atuação do Sistema de Justiça para promoção dos direito ao desenvolvimento humano integral na primeiros seis anos de vida.","E, graças a esse dispositivo legal, o CNJ iniciou o projeto “Justiça Começa na Infância”, visando fortalecer a atuação do Sistema de Justiça para promoção dos direito ao desenvolvimento humano integral na meninice inicial.",primeira infância
"Durante o evento, foram apresentadas palestras sobre a primeira infância pelo professor Vital Didonet e pelo deputado federal Osmar Terra.","Durante o evento, foram apresentadas palestras sobre a primeiros seis anos de vida pelo professor Vital Didonet e pelo deputado federal Osmar Terra.","Durante o evento, foram apresentadas palestras sobre a meninice inicial pelo professor Vital Didonet e pelo deputado federal Osmar Terra.",primeira infância
"O FEITICEIRO DE OZ NO GELO – ESPETÁCULO DIGITAL TEM A POÇÃO MÁGICA PARA UM FIM DE SEMANA MUSICAL, NATALÍCIO E NO CONFORTO DE CASA","O FEITICEIRO DE OZ NO GELO – ESPETÁCULO DIGITAL TEM A POÇÃO MÁGICA PARA UM FIM DE SEMANA MUSICAL, NATALÍCIO E NO CONFORTO DE CASA","O FEITICEIRO DE OZ NO GELO – ESPETÁCULO DIGITAL TEM A POÇÃO MÁGICA PARA UM FIM DE SEMANA MUSICAL, NATALÍCIO E NO CONFORTO DE CASA",poção mágica
"Antes de partir, ela pede que façam um brinde e coloca uma poção mágica em sua bebida.","Antes de partir, ela pede que façam um brinde e coloca uma elixir com feitiçaria em sua bebida.","Antes de partir, ela pede que façam um brinde e coloca uma solução milagrosa em sua bebida.",poção mágica
Harete coloca poção mágica na bebida de Ninrode - Gênesis,Harete coloca elixir com feitiçaria na bebida de Ninrode - Gênesis,Harete coloca solução milagrosa na bebida de Ninrode - Gênesis,poção mágica
"Pavithra Wanniarachchi havia consumido e aprovado publicamente uma suposta poção mágica, contendo mel e noz-moscada.","Pavithra Wanniarachchi havia consumido e aprovado publicamente uma suposta elixir com feitiçaria, contendo mel e noz-moscada.","Pavithra Wanniarachchi havia consumido e aprovado publicamente uma suposta solução milagrosa, contendo mel e noz-moscada.",poção mágica
"Um jovem ministro, que também bebeu a poção mágica popularizada por Wanniarachchi, foi diagnosticado positivo para Covid-19 esta semana.","Um jovem ministro, que também bebeu a elixir com feitiçaria popularizada por Wanniarachchi, foi diagnosticado positivo para Covid-19 esta semana.","Um jovem ministro, que também bebeu a solução milagrosa popularizada por Wanniarachchi, foi diagnosticado positivo para Covid-19 esta semana.",poção mágica
"Entre suas criações, os colares de garrafas de poção mágica, feitos com pedras diversas e diamantes.","Entre suas criações, os colares de garrafas de elixir com feitiçaria, feitos com pedras diversas e diamantes.","Entre suas criações, os colares de garrafas de solução milagrosa, feitos com pedras diversas e diamantes.",poção mágica
"Nesta, depois de sofrer uma queda aparatosa que poderia ter sido fatal, Panoramix, o grande druida da aldeia dos mais corajosos gauleses, percebe que é chegado o momento de encontrar um sucessor mais jovem a quem seja possível revelar o segredo da poção mágica.","Nesta, depois de sofrer uma queda aparatosa que poderia ter sido fatal, Panoramix, o grande druida da aldeia dos mais corajosos gauleses, percebe que é chegado o momento de encontrar um sucessor mais jovem a quem seja possível revelar o segredo da elixir com feitiçaria.","Nesta, depois de sofrer uma queda aparatosa que poderia ter sido fatal, Panoramix, o grande druida da aldeia dos mais corajosos gauleses, percebe que é chegado o momento de encontrar um sucessor mais jovem a quem seja possível revelar o segredo da solução milagrosa.",poção mágica
"Tomando esse fato como indício de seu declínio como druida, ele passa a vislumbrar uma aposentadoria forçada e decide partir numa missão para encontrar seu sucessor, alguém digno de receber o segredo da poção mágica - o famoso elixir que concede habilidades sobre-humanas - que sempre preparou para os aldeões.","Tomando esse fato como indício de seu declínio como druida, ele passa a vislumbrar uma aposentadoria forçada e decide partir numa missão para encontrar seu sucessor, alguém digno de receber o segredo da elixir com feitiçaria - o famoso elixir que concede habilidades sobre-humanas - que sempre preparou para os aldeões.","Tomando esse fato como indício de seu declínio como druida, ele passa a vislumbrar uma aposentadoria forçada e decide partir numa missão para encontrar seu sucessor, alguém digno de receber o segredo da solução milagrosa - o famoso elixir que concede habilidades sobre-humanas - que sempre preparou para os aldeões.",poção mágica
Dessa vez eles precisam ajudar o velho druída Getafix a encontrar um novo guardião para a poção mágica de Gália.,Dessa vez eles precisam ajudar o velho druída Getafix a encontrar um novo guardião para a elixir com feitiçaria de Gália.,Dessa vez eles precisam ajudar o velho druída Getafix a encontrar um novo guardião para a solução milagrosa de Gália.,poção mágica
Dessa vez eles precisam ajudar o velho druída Panoramix a encontrar um novo guardião para a poção mágica da Gália.,Dessa vez eles precisam ajudar o velho druída Panoramix a encontrar um novo guardião para a elixir com feitiçaria da Gália.,Dessa vez eles precisam ajudar o velho druída Panoramix a encontrar um novo guardião para a solução milagrosa da Gália.,poção mágica
"O filme acompanha a jornada de Panoramix, o druida da aldeia, que parte em busca de um substituto para passar a fórmula da famosa poção mágica que dá força aos gauleses.","O filme acompanha a jornada de Panoramix, o druida da aldeia, que parte em busca de um substituto para passar a fórmula da famosa elixir com feitiçaria que dá força aos gauleses.","O filme acompanha a jornada de Panoramix, o druida da aldeia, que parte em busca de um substituto para passar a fórmula da famosa solução milagrosa que dá força aos gauleses.",poção mágica
"Porém, no momento que o padre ativou a câmera traseira do seu celular para fazer a transmissão, ele ativou junto, sem querer, um efeito especial que insere desenhos no rosto das pessoas que aparecem no vídeo.","Porém, no momento que o padre ativou a câmera traseira do seu celular para fazer a transmissão, ele ativou junto, sem querer, um efeitos de imagem e som que insere desenhos no rosto das pessoas que aparecem no vídeo.","Porém, no momento que o padre ativou a câmera traseira do seu celular para fazer a transmissão, ele ativou junto, sem querer, um execução incomum que insere desenhos no rosto das pessoas que aparecem no vídeo.",efeito especial
"A musicista gravou em casa, com auxílio de um fundo vermelho idêntico à cadeira dos técnicos da atração, e surpreendeu o público com o efeito especial.","A musicista gravou em casa, com auxílio de um fundo vermelho idêntico à cadeira dos técnicos da atração, e surpreendeu o público com o efeitos de imagem e som.","A musicista gravou em casa, com auxílio de um fundo vermelho idêntico à cadeira dos técnicos da atração, e surpreendeu o público com o execução incomum.",efeito especial
"Embora pareçam um efeito especial, os fenômenos são reais, e foram captados por uma câmera automática no observatório Gemini Norte, localizado a 4.200 metros de altitude no monte Maunakea.","Embora pareçam um efeitos de imagem e som, os fenômenos são reais, e foram captados por uma câmera automática no observatório Gemini Norte, localizado a 4.200 metros de altitude no monte Maunakea.","Embora pareçam um execução incomum, os fenômenos são reais, e foram captados por uma câmera automática no observatório Gemini Norte, localizado a 4.200 metros de altitude no monte Maunakea.",efeito especial
"“Eu queria filmar em paisagens de verdade, porque as pessoas sabem o que é efeito especial e o que não é. Isso dá uma dimensão mais real para o filme”, justifica.","“Eu queria filmar em paisagens de verdade, porque as pessoas sabem o que é efeitos de imagem e som e o que não é. Isso dá uma dimensão mais real para o filme”, justifica.","“Eu queria filmar em paisagens de verdade, porque as pessoas sabem o que é execução incomum e o que não é. Isso dá uma dimensão mais real para o filme”, justifica.",efeito especial
"Muito efeito especial em CGI foi usado e a maioria deles é competentíssimo, mas não podemos dizer isso da batalha entre Neo e a legião de clones do Agente Smith.","Muito efeitos de imagem e som em CGI foi usado e a maioria deles é competentíssimo, mas não podemos dizer isso da batalha entre Neo e a legião de clones do Agente Smith.","Muito execução incomum em CGI foi usado e a maioria deles é competentíssimo, mas não podemos dizer isso da batalha entre Neo e a legião de clones do Agente Smith.",efeito especial
Foi em 1895 que o primeiro efeito especial do cinema chegou aos olhos do público.,Foi em 1895 que o primeiro efeitos de imagem e som do cinema chegou aos olhos do público.,Foi em 1895 que o primeiro execução incomum do cinema chegou aos olhos do público.,efeito especial
"Pela primeira vez um efeito especial foi usado para criar uma ilusão de que alguém realmente estava perdendo a cabeça diante das câmeras, porém, de modo que todos os pescoços de verdade continuassem totalmente intactos.","Pela primeira vez um efeitos de imagem e som foi usado para criar uma ilusão de que alguém realmente estava perdendo a cabeça diante das câmeras, porém, de modo que todos os pescoços de verdade continuassem totalmente intactos.","Pela primeira vez um execução incomum foi usado para criar uma ilusão de que alguém realmente estava perdendo a cabeça diante das câmeras, porém, de modo que todos os pescoços de verdade continuassem totalmente intactos.",efeito especial
"No vídeo divulgado nas redes sociais, é possível perceber que um som faz o casal olhar para o prédio da frente e ver o efeito especial da fumaça.","No vídeo divulgado nas redes sociais, é possível perceber que um som faz o casal olhar para o prédio da frente e ver o efeitos de imagem e som da fumaça.","No vídeo divulgado nas redes sociais, é possível perceber que um som faz o casal olhar para o prédio da frente e ver o execução incomum da fumaça.",efeito especial
"O que os moradores pensaram tratar-se de um incêncio era, porém, apenas efeito especial.","O que os moradores pensaram tratar-se de um incêncio era, porém, apenas efeitos de imagem e som.","O que os moradores pensaram tratar-se de um incêncio era, porém, apenas execução incomum.",efeito especial
"Há diversos debates, gostos, do que torna um efeito especial bom de verdade. ","Há diversos debates, gostos, do que torna um efeitos de imagem e som bom de verdade. ","Há diversos debates, gostos, do que torna um execução incomum bom de verdade. ",efeito especial
"Livre-docente nessa disciplina, ela leciona nos cursos de graduação e pós-graduação em direito da Pontifícia Universidade Católica de São Paulo.​​      ---|---","Livre-docente nessa disciplina, ela leciona nos cursos de graduação e pós-graduação em direito da Pontifícia Universidade Católica de São Paulo.​​      ---|---","Livre-docente nessa disciplina, ela leciona nos cursos de graduação e pós-graduação em direito da Pontifícia Universidade Católica de São Paulo.​​      ---|---",livre-docente
"Doutora em teoria literária pela PUC-SP e livre-docente em ciências da comunicação pela USP, Lucia é professora titular na pós-graduação em Comunicação e Semiótica e coordenadora da pós-graduação em Tecnologias da Inteligência e Design Digital da PUC e realizou diversas pesquisas de pós- doutorado em universidades europeias e latino-americanas.","Doutora em teoria literária pela PUC-SP e professor em ciências da comunicação pela USP, Lucia é professora titular na pós-graduação em Comunicação e Semiótica e coordenadora da pós-graduação em Tecnologias da Inteligência e Design Digital da PUC e realizou diversas pesquisas de pós- doutorado em universidades europeias e latino-americanas.","Doutora em teoria literária pela PUC-SP e professor em ciências da comunicação pela USP, Lucia é professora titular na pós-graduação em Comunicação e Semiótica e coordenadora da pós-graduação em Tecnologias da Inteligência e Design Digital da PUC e realizou diversas pesquisas de pós- doutorado em universidades europeias e latino-americanas.",livre-docente
"Luís Antônio Jorge é arquiteto urbanista (PUC-Campinas, 1985), mestre (1993), doutor (1999) e livre-docente (2016) em Arquitetura e Urbanismo pela FAU-USP, onde é professor do Departamento de Projeto e da Área “Projeto, Espaço e Cultura” do Programa de Pós-Graduação.","Luís Antônio Jorge é arquiteto urbanista (PUC-Campinas, 1985), mestre (1993), doutor (1999) e professor (2016) em Arquitetura e Urbanismo pela FAU-USP, onde é professor do Departamento de Projeto e da Área “Projeto, Espaço e Cultura” do Programa de Pós-Graduação.","Luís Antônio Jorge é arquiteto urbanista (PUC-Campinas, 1985), mestre (1993), doutor (1999) e professor liberto (2016) em Arquitetura e Urbanismo pela FAU-USP, onde é professor do Departamento de Projeto e da Área “Projeto, Espaço e Cultura” do Programa de Pós-Graduação.",livre-docente
"DIFICULDADE - Professor livre-docente em Língua Espanhola da USP, Adrián Pablo Fanjul explica que o aprendizado do português é um desafio aos treinadores não tanto pela parte escrita, mas pela conversação.","DIFICULDADE - Professor professor em Língua Espanhola da USP, Adrián Pablo Fanjul explica que o aprendizado do português é um desafio aos treinadores não tanto pela parte escrita, mas pela conversação.","DIFICULDADE - Professor professor liberto em Língua Espanhola da USP, Adrián Pablo Fanjul explica que o aprendizado do português é um desafio aos treinadores não tanto pela parte escrita, mas pela conversação.",livre-docente
"Na empresa há 20 anos, Tsutsui é graduada em Medicina pela Faculdade de Medicina de Ribeirão Preto (USP), tem doutorado em Cardiologia, pós-doutorado na University of Nebraska Medical Center e é livre-docente pela Faculdade de Medicina da USP.","Na empresa há 20 anos, Tsutsui é graduada em Medicina pela Faculdade de Medicina de Ribeirão Preto (USP), tem doutorado em Cardiologia, pós-doutorado na University of Nebraska Medical Center e é professor pela Faculdade de Medicina da USP.","Na empresa há 20 anos, Tsutsui é graduada em Medicina pela Faculdade de Medicina de Ribeirão Preto (USP), tem doutorado em Cardiologia, pós-doutorado na University of Nebraska Medical Center e é professor liberto pela Faculdade de Medicina da USP.",livre-docente
"Arquiteto urbanista (PUC-Campinas, 1985), Luis Antonio Jorge é mestre (1993), doutor (1999) e livre-docente (2016) em Arquitetura e Urbanismo pela FAU-USP, onde é professor do Departamento de Projeto e da Área “Projeto, Espaço e Cultura” do Programa de Pós-Graduação.","Arquiteto urbanista (PUC-Campinas, 1985), Luis Antonio Jorge é mestre (1993), doutor (1999) e professor (2016) em Arquitetura e Urbanismo pela FAU-USP, onde é professor do Departamento de Projeto e da Área “Projeto, Espaço e Cultura” do Programa de Pós-Graduação.","Arquiteto urbanista (PUC-Campinas, 1985), Luis Antonio Jorge é mestre (1993), doutor (1999) e professor liberto (2016) em Arquitetura e Urbanismo pela FAU-USP, onde é professor do Departamento de Projeto e da Área “Projeto, Espaço e Cultura” do Programa de Pós-Graduação.",livre-docente
Lucia Santaella - livre-docente em ciências da comunicação pela ECA/USP e coordenadora do programa de Pós-graduação em Tecnologias da Inteligência e Design Digital da PUC-SP.,Lucia Santaella - professor em ciências da comunicação pela ECA/USP e coordenadora do programa de Pós-graduação em Tecnologias da Inteligência e Design Digital da PUC-SP.,Lucia Santaella - professor em ciências da comunicação pela ECA/USP e coordenadora do programa de Pós-graduação em Tecnologias da Inteligência e Design Digital da PUC-SP.,livre-docente
Tornou-se livre-docente de Literatura Brasileira em 1945 e doutor em Ciências em 1954.,Tornou-se professor de Literatura Brasileira em 1945 e doutor em Ciências em 1954.,Tornou-se professor liberto de Literatura Brasileira em 1945 e doutor em Ciências em 1954.,livre-docente
"É graduado em Medicina, doutor em Bioquímica pela Faculdade de Medicina e livre-docente pelo Instituto de Química.","É graduado em Medicina, doutor em Bioquímica pela Faculdade de Medicina e professor pelo Instituto de Química.","É graduado em Medicina, doutor em Bioquímica pela Faculdade de Medicina e professor pelo Instituto de Química.",livre-docente
"Neste ano, será preciso elencar ideias fundamentais"", afirma Nilson José Machado, livre-docente na área de Epistemologia e Didática, na Faculdade de Educação da Universidade de São Paulo (USP) e professor titular na mesma instituição.","Neste ano, será preciso elencar ideias fundamentais"", afirma Nilson José Machado, professor na área de Epistemologia e Didática, na Faculdade de Educação da Universidade de São Paulo (USP) e professor titular na mesma instituição.","Neste ano, será preciso elencar ideias fundamentais"", afirma Nilson José Machado, professor liberto na área de Epistemologia e Didática, na Faculdade de Educação da Universidade de São Paulo (USP) e professor titular na mesma instituição.",livre-docente
"A mediadora Helena Altmann, é professora livre-docente da Unicamp, na Faculdade de Educação Física e no Programa de Pós-graduação em Educação.","A mediadora Helena Altmann, é professora professor da Unicamp, na Faculdade de Educação Física e no Programa de Pós-graduação em Educação.","A mediadora Helena Altmann, é professora professor da Unicamp, na Faculdade de Educação Física e no Programa de Pós-graduação em Educação.",livre-docente
"Para a historiadora Marisa Midori Deaecto, professora livre-docente em História do Livro na Escola de Comunicações de Artes da Universidade de São Paulo, o atual discurso do governo e a taxação contribuem para piorar o acesso ao livro no Brasil.","Para a historiadora Marisa Midori Deaecto, professora professor em História do Livro na Escola de Comunicações de Artes da Universidade de São Paulo, o atual discurso do governo e a taxação contribuem para piorar o acesso ao livro no Brasil.","Para a historiadora Marisa Midori Deaecto, professora professor em História do Livro na Escola de Comunicações de Artes da Universidade de São Paulo, o atual discurso do governo e a taxação contribuem para piorar o acesso ao livro no Brasil.",livre-docente
"É importante que os familiares mostrem de maneira clara que existem mudanças, por que elas existem e por que ele não está indo à escola"", diz o professor livre-docente em neurologia pela USP (Universidade de São Paulo), Erasmo Casella.","É importante que os familiares mostrem de maneira clara que existem mudanças, por que elas existem e por que ele não está indo à escola"", diz o professor professor em neurologia pela USP (Universidade de São Paulo), Erasmo Casella.","É importante que os familiares mostrem de maneira clara que existem mudanças, por que elas existem e por que ele não está indo à escola"", diz o professor professor liberto em neurologia pela USP (Universidade de São Paulo), Erasmo Casella.",livre-docente
"Carlos Berriel - professor livre-docente no Departamento de Teoria Literária da Unicamp e professor visitante na Università di Firenze, Itália.","Carlos Berriel - professor professor no Departamento de Teoria Literária da Unicamp e professor visitante na Università di Firenze, Itália.","Carlos Berriel - professor professor no Departamento de Teoria Literária da Unicamp e professor visitante na Università di Firenze, Itália.",livre-docente
"A segunda fileira é digna de classe executiva, com encostos especiais para a cabeça e sistema pneumático de massagem, com nove configurações distintas.   ","A segunda fileira é digna de primeira classe, com encostos especiais para a cabeça e sistema pneumático de massagem, com nove configurações distintas.   ","A segunda fileira é digna de categoria administradora, com encostos especiais para a cabeça e sistema pneumático de massagem, com nove configurações distintas.   ",classe executiva
"Eles podem optar por ficar na primeira classe, por 59.800 ienes (R$ 3.073), ou na classe executiva, por 29.800 ienes (R$ 1.531).","Eles podem optar por ficar na primeira classe, por 59.800 ienes (R$ 3.073), ou na primeira classe, por 29.800 ienes (R$ 1.531).","Eles podem optar por ficar na primeira classe, por 59.800 ienes (R$ 3.073), ou na categoria administradora, por 29.800 ienes (R$ 1.531).",classe executiva
"E sabemos que para quem planeja voos mais longos, optar por uma Classe Executiva pode ser um fator decisivo para o sucesso de sua viagem, afinal, nada melhor do que chegar descansado e satisfeito em seu destino final, não é mesmo?","E sabemos que para quem planeja voos mais longos, optar por uma Classe Executiva pode ser um fator decisivo para o sucesso de sua viagem, afinal, nada melhor do que chegar descansado e satisfeito em seu destino final, não é mesmo?","E sabemos que para quem planeja voos mais longos, optar por uma Classe Executiva pode ser um fator decisivo para o sucesso de sua viagem, afinal, nada melhor do que chegar descansado e satisfeito em seu destino final, não é mesmo?",classe executiva
Voar em classe executiva não é o que costumava ser.,Voar em primeira classe não é o que costumava ser.,Voar em categoria administradora não é o que costumava ser.,classe executiva
"“Não há ninguém para ajudá-lo com sua bagagem, você não é escoltado até seu assento e definitivamente não há champanhe antes do início do voo”, disse Sandra Lim, que voou na classe executiva de Los Angeles para Cingapura com a Singapore Air no mês passado.","“Não há ninguém para ajudá-lo com sua bagagem, você não é escoltado até seu assento e definitivamente não há champanhe antes do início do voo”, disse Sandra Lim, que voou na primeira classe de Los Angeles para Cingapura com a Singapore Air no mês passado.","“Não há ninguém para ajudá-lo com sua bagagem, você não é escoltado até seu assento e definitivamente não há champanhe antes do início do voo”, disse Sandra Lim, que voou na categoria administradora de Los Angeles para Cingapura com a Singapore Air no mês passado.",classe executiva
